old_path,new_path,level,reason,status
19-个人生活与兴趣项目/18-AI水族系统,19-个人生活与兴趣项目/01-AI水族系统,2,不从01开始（沿用无关编号18）,done
15-AI自动化工兵营/07-模型路由,15-AI自动化工兵营/01-模型路由,2,不从01开始,done
00-总指挥部/04-AI路由与入口,00-总指挥部/02-AI路由与入口,2,跳号（01→04）,done
00-总指挥部/MOC,00-总指挥部/03-MOC,2,无序号前缀,done
01-外贸市场情报站/07-国家市场,01-外贸市场情报站/02-国家市场,2,跳号（01→07）,done
01-外贸市场情报站/08-全球买家认知系统,01-外贸市场情报站/03-全球买家认知系统,2,跳号,done
02-跨境社媒获客/24-全球市场与行业研究,02-跨境社媒获客/02-全球市场与行业研究,2,跳号（01→24）,done
03-海外投流火力站/02-海外投流,03-海外投流火力站/01-海外投流,2,不从01开始,done
03-海外投流火力站/04-投流系统,03-海外投流火力站/02-投流系统,2,跳号,done
04-内容素材弹药库/07-广告素材与创意,04-内容素材弹药库/01-广告素材与创意,2,不从01开始,done
05-客户开发与成交/05-采购决策模型,05-客户开发与成交/01-采购决策模型,2,重复序号,done
05-客户开发与成交/05-跨境运营与客户开发,05-客户开发与成交/02-跨境运营与客户开发,2,重复序号,done
05-客户开发与成交/09-ROI 与自动化逻辑,05-客户开发与成交/03-ROI 与自动化逻辑,2,跳号,done
05-客户开发与成交/18-对外销售资料,05-客户开发与成交/04-对外销售资料,2,跳号,done
09-销售过程复盘/08-投流策略与复盘,09-销售过程复盘/01-投流策略与复盘,2,不从01开始,done
10-食品加工机械作战体系/食品加工器械报告,10-食品加工机械作战体系/01-食品加工器械报告,2,无序号前缀,done
11-选品产品情报站/产品分析,11-选品产品情报站/01-产品分析,2,无序号前缀,done
11-选品产品情报站/市场调研,11-选品产品情报站/02-市场调研,2,无序号前缀,done
11-选品产品情报站/方法论与 SOP,11-选品产品情报站/03-方法论与SOP,2,无序号前缀,done
11-选品产品情报站/选品方法论,11-选品产品情报站/04-选品方法论,2,无序号前缀,done
12-行业竞品侦察站/06-行业案例库,12-行业竞品侦察站/01-行业案例库,2,不从01开始,done
12-行业竞品侦察站/10-竞品与产业链,12-行业竞品侦察站/02-竞品与产业链,2,跳号,done
12-行业竞品侦察站/16-典型案例,12-行业竞品侦察站/03-典型案例,2,跳号,done
13-国内业务与代运营/09-国内业务,13-国内业务与代运营/01-国内业务,2,不从01开始,done
14-国内投流/03-国内投流,14-国内投流/01-国内投流,2,不从01开始,done
15-AI自动化工兵营/AI工作流,15-AI自动化工兵营/02-AI工作流,2,无序号前缀,done
15-AI自动化工兵营/AI技能库,15-AI自动化工兵营/03-AI技能库,2,无序号前缀,done
15-AI自动化工兵营/AI用量统计,15-AI自动化工兵营/04-AI用量统计,2,无序号前缀,done
15-AI自动化工兵营/AI视频剪辑工作流,15-AI自动化工兵营/05-AI视频剪辑工作流,2,无序号前缀,done
15-AI自动化工兵营/Claude Code记忆,15-AI自动化工兵营/06-Claude Code记忆,2,无序号前缀,done
15-AI自动化工兵营/Claude code Memory与会话,15-AI自动化工兵营/07-Claude code Memory与会话,2,无序号前缀,done
15-AI自动化工兵营/Claude-Code,15-AI自动化工兵营/08-Claude-Code,2,无序号前缀,done
15-AI自动化工兵营/ClaudeMem项目进展,15-AI自动化工兵营/09-ClaudeMem项目进展,2,无序号前缀,done
15-AI自动化工兵营/Codex,15-AI自动化工兵营/10-Codex,2,无序号前缀,done
15-AI自动化工兵营/Hermes,15-AI自动化工兵营/11-Hermes,2,无序号前缀,done
